input,output
type of weight is boolean,ColumnDataType `weight` = 976981
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 976981
cusip > 500021,ColumnValue `cusip` > 500021
length of cusip = 4073,ColumnLength `cusip` = 4073
length of height >= 2332,ColumnLength `height` >= 2332
length of weight >= 6117,ColumnLength `weight` >= 6117
length of ticker_symbol = 1372,ColumnLength `ticker_symbol` = 1372
length of ticker_symbol = 5594,ColumnLength `ticker_symbol` = 5594
length of holdings <= 1314,ColumnLength `holdings` <= 1314
type of age is int,ColumnDataType `age` = 1314
length of salary > 9608,ColumnLength `salary` > 9608
length of age <= 36,ColumnLength `age` <= 36
type of salary is int,ColumnDataType `salary` = 36
type of salary is int,ColumnDataType `salary` = 36
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 36
length of holdings < 6363,ColumnLength `holdings` < 6363
type of cusip is int,ColumnDataType `cusip` = 6363
type of salary is int,ColumnDataType `salary` = 6363
length of holdings > 2264,ColumnLength `holdings` > 2264
type of holdings is int,ColumnDataType `holdings` = 2264
holdings >= 663620,ColumnValue `holdings` >= 663620
length of cusip = 5664,ColumnLength `cusip` = 5664
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 5664
length of ticker_symbol <= 3618,ColumnLength `ticker_symbol` <= 3618
type of age is float,ColumnDataType `age` = 3618
type of cusip is string,ColumnDataType `cusip` = 3618
type of height is int,ColumnDataType `height` = 3618
type of cusip is int,ColumnDataType `cusip` = 3618
type of salary is string,ColumnDataType `salary` = 3618
height = 941889,ColumnValue `height` = 941889
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 941889
length of salary = 8398,ColumnLength `salary` = 8398
cusip >= 678644,ColumnValue `cusip` >= 678644
holdings > 753665,ColumnValue `holdings` > 753665
holdings = 11328,ColumnValue `holdings` = 11328
length of ticker_symbol = 4033,ColumnLength `ticker_symbol` = 4033
length of holdings > 7752,ColumnLength `holdings` > 7752
cusip > 207879,ColumnValue `cusip` > 207879
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 207879
length of height <= 922,ColumnLength `height` <= 922
type of salary is string,ColumnDataType `salary` = 922
type of salary is boolean,ColumnDataType `salary` = 922
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 922
type of holdings is int,ColumnDataType `holdings` = 922
type of holdings is int,ColumnDataType `holdings` = 922
type of cusip is float,ColumnDataType `cusip` = 922
type of age is int,ColumnDataType `age` = 922
type of age is boolean,ColumnDataType `age` = 922
weight > 90058,ColumnValue `weight` > 90058
type of holdings is boolean,ColumnDataType `holdings` = 90058
type of height is float,ColumnDataType `height` = 90058
cusip < 815840,ColumnValue `cusip` < 815840
ticker_symbol > 474685,ColumnValue `ticker_symbol` > 474685
age < 869370,ColumnValue `age` < 869370
ticker_symbol >= 378291,ColumnValue `ticker_symbol` >= 378291
type of salary is boolean,ColumnDataType `salary` = 378291
length of salary < 738,ColumnLength `salary` < 738
length of cusip > 2583,ColumnLength `cusip` > 2583
salary <= 855363,ColumnValue `salary` <= 855363
length of height > 8019,ColumnLength `height` > 8019
ticker_symbol < 706984,ColumnValue `ticker_symbol` < 706984
length of weight > 5624,ColumnLength `weight` > 5624
type of holdings is int,ColumnDataType `holdings` = 5624
holdings <= 803451,ColumnValue `holdings` <= 803451
ticker_symbol = 174325,ColumnValue `ticker_symbol` = 174325
length of height >= 3367,ColumnLength `height` >= 3367
ticker_symbol < 196750,ColumnValue `ticker_symbol` < 196750
salary >= 489623,ColumnValue `salary` >= 489623
type of salary is float,ColumnDataType `salary` = 489623
length of height < 6689,ColumnLength `height` < 6689
type of cusip is float,ColumnDataType `cusip` = 6689
weight >= 140,ColumnValue `weight` >= 140
type of age is string,ColumnDataType `age` = 140
weight > 25755,ColumnValue `weight` > 25755
length of salary < 8474,ColumnLength `salary` < 8474
age > 616676,ColumnValue `age` > 616676
type of weight is boolean,ColumnDataType `weight` = 616676
cusip >= 241588,ColumnValue `cusip` >= 241588
salary <= 26838,ColumnValue `salary` <= 26838
length of holdings = 6850,ColumnLength `holdings` = 6850
type of weight is float,ColumnDataType `weight` = 6850
type of holdings is float,ColumnDataType `holdings` = 6850
length of height < 3129,ColumnLength `height` < 3129
length of ticker_symbol = 2344,ColumnLength `ticker_symbol` = 2344
type of weight is string,ColumnDataType `weight` = 2344
length of weight <= 2299,ColumnLength `weight` <= 2299
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 2299
holdings > 61903,ColumnValue `holdings` > 61903
type of holdings is boolean,ColumnDataType `holdings` = 61903
height <= 893434,ColumnValue `height` <= 893434
ticker_symbol > 187614,ColumnValue `ticker_symbol` > 187614
salary <= 19245,ColumnValue `salary` <= 19245
type of age is string,ColumnDataType `age` = 19245
holdings <= 636131,ColumnValue `holdings` <= 636131
length of cusip >= 4981,ColumnLength `cusip` >= 4981
type of age is int,ColumnDataType `age` = 4981
weight < 720830,ColumnValue `weight` < 720830
type of holdings is int,ColumnDataType `holdings` = 720830
type of holdings is int,ColumnDataType `holdings` = 720830
weight > 100752,ColumnValue `weight` > 100752
weight < 464655,ColumnValue `weight` < 464655
length of weight <= 2308,ColumnLength `weight` <= 2308
type of cusip is boolean,ColumnDataType `cusip` = 2308
length of holdings <= 4371,ColumnLength `holdings` <= 4371
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 4371
type of salary is int,ColumnDataType `salary` = 4371
type of weight is boolean,ColumnDataType `weight` = 4371
type of cusip is string,ColumnDataType `cusip` = 4371
length of height >= 1490,ColumnLength `height` >= 1490
holdings = 291584,ColumnValue `holdings` = 291584
length of holdings > 6625,ColumnLength `holdings` > 6625
type of height is int,ColumnDataType `height` = 6625
type of cusip is int,ColumnDataType `cusip` = 6625
holdings <= 495121,ColumnValue `holdings` <= 495121
length of age >= 5511,ColumnLength `age` >= 5511
type of salary is string,ColumnDataType `salary` = 5511
type of cusip is string,ColumnDataType `cusip` = 5511
type of height is boolean,ColumnDataType `height` = 5511
type of age is boolean,ColumnDataType `age` = 5511
weight <= 262236,ColumnValue `weight` <= 262236
type of salary is boolean,ColumnDataType `salary` = 262236
type of weight is boolean,ColumnDataType `weight` = 262236
length of weight >= 3117,ColumnLength `weight` >= 3117
length of holdings <= 8012,ColumnLength `holdings` <= 8012
length of weight > 7682,ColumnLength `weight` > 7682
type of cusip is boolean,ColumnDataType `cusip` = 7682
age < 14458,ColumnValue `age` < 14458
length of height >= 7866,ColumnLength `height` >= 7866
type of height is string,ColumnDataType `height` = 7866
holdings < 521420,ColumnValue `holdings` < 521420
length of ticker_symbol > 3839,ColumnLength `ticker_symbol` > 3839
length of weight = 4649,ColumnLength `weight` = 4649
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 4649
ticker_symbol > 474307,ColumnValue `ticker_symbol` > 474307
type of weight is boolean,ColumnDataType `weight` = 474307
length of salary <= 4746,ColumnLength `salary` <= 4746
type of weight is int,ColumnDataType `weight` = 4746
ticker_symbol < 125415,ColumnValue `ticker_symbol` < 125415
cusip = 943482,ColumnValue `cusip` = 943482
weight <= 342359,ColumnValue `weight` <= 342359
type of height is float,ColumnDataType `height` = 342359
length of holdings > 4457,ColumnLength `holdings` > 4457
type of holdings is string,ColumnDataType `holdings` = 4457
height >= 685292,ColumnValue `height` >= 685292
length of salary > 6429,ColumnLength `salary` > 6429
type of cusip is boolean,ColumnDataType `cusip` = 6429
weight <= 683404,ColumnValue `weight` <= 683404
length of height > 2576,ColumnLength `height` > 2576
cusip = 959157,ColumnValue `cusip` = 959157
holdings < 81430,ColumnValue `holdings` < 81430
weight < 608378,ColumnValue `weight` < 608378
type of cusip is int,ColumnDataType `cusip` = 608378
length of salary >= 6223,ColumnLength `salary` >= 6223
ticker_symbol >= 859814,ColumnValue `ticker_symbol` >= 859814
age > 390228,ColumnValue `age` > 390228
length of salary < 2429,ColumnLength `salary` < 2429
length of ticker_symbol < 7619,ColumnLength `ticker_symbol` < 7619
height < 89861,ColumnValue `height` < 89861
type of cusip is float,ColumnDataType `cusip` = 89861
length of age = 1032,ColumnLength `age` = 1032
length of salary <= 7375,ColumnLength `salary` <= 7375
length of holdings >= 9126,ColumnLength `holdings` >= 9126
height > 983552,ColumnValue `height` > 983552
age > 55337,ColumnValue `age` > 55337
weight < 982590,ColumnValue `weight` < 982590
holdings < 727814,ColumnValue `holdings` < 727814
ticker_symbol = 300839,ColumnValue `ticker_symbol` = 300839
type of weight is boolean,ColumnDataType `weight` = 300839
age <= 356882,ColumnValue `age` <= 356882
holdings < 15473,ColumnValue `holdings` < 15473
length of cusip > 7278,ColumnLength `cusip` > 7278
type of weight is boolean,ColumnDataType `weight` = 7278
length of ticker_symbol >= 1604,ColumnLength `ticker_symbol` >= 1604
length of cusip <= 9885,ColumnLength `cusip` <= 9885
length of weight = 4868,ColumnLength `weight` = 4868
length of holdings = 2316,ColumnLength `holdings` = 2316
cusip = 156189,ColumnValue `cusip` = 156189
type of age is int,ColumnDataType `age` = 156189
length of ticker_symbol <= 5319,ColumnLength `ticker_symbol` <= 5319
length of ticker_symbol = 8153,ColumnLength `ticker_symbol` = 8153
holdings <= 97514,ColumnValue `holdings` <= 97514
weight <= 425603,ColumnValue `weight` <= 425603
type of salary is string,ColumnDataType `salary` = 425603
weight = 650812,ColumnValue `weight` = 650812
weight < 807761,ColumnValue `weight` < 807761
weight <= 894914,ColumnValue `weight` <= 894914
type of weight is boolean,ColumnDataType `weight` = 894914
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 894914
type of height is int,ColumnDataType `height` = 894914
height <= 934462,ColumnValue `height` <= 934462
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 934462
type of salary is float,ColumnDataType `salary` = 934462
holdings >= 809553,ColumnValue `holdings` >= 809553
height < 368429,ColumnValue `height` < 368429
height > 311046,ColumnValue `height` > 311046
type of cusip is string,ColumnDataType `cusip` = 311046
type of age is float,ColumnDataType `age` = 311046
length of salary <= 4296,ColumnLength `salary` <= 4296
length of holdings > 240,ColumnLength `holdings` > 240
type of cusip is boolean,ColumnDataType `cusip` = 240
type of height is boolean,ColumnDataType `height` = 240
age <= 980042,ColumnValue `age` <= 980042
ticker_symbol = 825802,ColumnValue `ticker_symbol` = 825802
type of cusip is string,ColumnDataType `cusip` = 825802
length of age > 724,ColumnLength `age` > 724
type of height is int,ColumnDataType `height` = 724
length of age > 3593,ColumnLength `age` > 3593
cusip = 113416,ColumnValue `cusip` = 113416
length of cusip <= 2581,ColumnLength `cusip` <= 2581
length of height > 1906,ColumnLength `height` > 1906
type of salary is int,ColumnDataType `salary` = 1906
type of weight is string,ColumnDataType `weight` = 1906
length of holdings <= 886,ColumnLength `holdings` <= 886
type of salary is int,ColumnDataType `salary` = 886
type of cusip is string,ColumnDataType `cusip` = 886
type of weight is int,ColumnDataType `weight` = 886
cusip < 526911,ColumnValue `cusip` < 526911
length of ticker_symbol > 3214,ColumnLength `ticker_symbol` > 3214
height > 537692,ColumnValue `height` > 537692
ticker_symbol <= 97627,ColumnValue `ticker_symbol` <= 97627
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 97627
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 97627
length of weight <= 1091,ColumnLength `weight` <= 1091
type of height is int,ColumnDataType `height` = 1091
weight < 731155,ColumnValue `weight` < 731155
length of height = 8909,ColumnLength `height` = 8909
height = 187736,ColumnValue `height` = 187736
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 187736
holdings >= 140559,ColumnValue `holdings` >= 140559
type of holdings is float,ColumnDataType `holdings` = 140559
length of salary = 1481,ColumnLength `salary` = 1481
type of weight is string,ColumnDataType `weight` = 1481
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 1481
type of age is int,ColumnDataType `age` = 1481
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 1481
type of weight is float,ColumnDataType `weight` = 1481
length of height <= 8227,ColumnLength `height` <= 8227
type of age is float,ColumnDataType `age` = 8227
cusip >= 454971,ColumnValue `cusip` >= 454971
type of weight is int,ColumnDataType `weight` = 454971
age = 115149,ColumnValue `age` = 115149
type of holdings is string,ColumnDataType `holdings` = 115149
length of weight <= 7079,ColumnLength `weight` <= 7079
ticker_symbol > 450744,ColumnValue `ticker_symbol` > 450744
length of salary < 1095,ColumnLength `salary` < 1095
height = 716947,ColumnValue `height` = 716947
length of cusip <= 7271,ColumnLength `cusip` <= 7271
age > 776977,ColumnValue `age` > 776977
length of holdings > 192,ColumnLength `holdings` > 192
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 192
ticker_symbol >= 646798,ColumnValue `ticker_symbol` >= 646798
type of salary is float,ColumnDataType `salary` = 646798
length of weight <= 1939,ColumnLength `weight` <= 1939
length of weight >= 7112,ColumnLength `weight` >= 7112
cusip >= 533522,ColumnValue `cusip` >= 533522
length of height > 1661,ColumnLength `height` > 1661
type of height is float,ColumnDataType `height` = 1661
length of ticker_symbol < 7263,ColumnLength `ticker_symbol` < 7263
length of holdings > 5107,ColumnLength `holdings` > 5107
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 5107
length of salary <= 5986,ColumnLength `salary` <= 5986
type of cusip is float,ColumnDataType `cusip` = 5986
length of salary > 4653,ColumnLength `salary` > 4653
type of holdings is boolean,ColumnDataType `holdings` = 4653
type of height is string,ColumnDataType `height` = 4653
type of salary is boolean,ColumnDataType `salary` = 4653
type of age is boolean,ColumnDataType `age` = 4653
length of salary >= 6588,ColumnLength `salary` >= 6588
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 6588
length of salary < 9588,ColumnLength `salary` < 9588
holdings >= 924783,ColumnValue `holdings` >= 924783
length of salary <= 7904,ColumnLength `salary` <= 7904
ticker_symbol = 723847,ColumnValue `ticker_symbol` = 723847
length of weight < 2195,ColumnLength `weight` < 2195
ticker_symbol <= 238901,ColumnValue `ticker_symbol` <= 238901
length of age < 2628,ColumnLength `age` < 2628
length of cusip > 3013,ColumnLength `cusip` > 3013
weight = 205825,ColumnValue `weight` = 205825
salary > 150381,ColumnValue `salary` > 150381
age = 381309,ColumnValue `age` = 381309
type of holdings is string,ColumnDataType `holdings` = 381309
length of cusip >= 5592,ColumnLength `cusip` >= 5592
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 5592
length of cusip = 3924,ColumnLength `cusip` = 3924
ticker_symbol > 678340,ColumnValue `ticker_symbol` > 678340
age >= 136485,ColumnValue `age` >= 136485
ticker_symbol >= 516833,ColumnValue `ticker_symbol` >= 516833
type of salary is float,ColumnDataType `salary` = 516833
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 516833
type of age is float,ColumnDataType `age` = 516833
weight <= 241590,ColumnValue `weight` <= 241590
type of age is boolean,ColumnDataType `age` = 241590
salary > 462990,ColumnValue `salary` > 462990
type of salary is float,ColumnDataType `salary` = 462990
type of cusip is int,ColumnDataType `cusip` = 462990
type of age is int,ColumnDataType `age` = 462990
length of weight = 1198,ColumnLength `weight` = 1198
length of salary <= 649,ColumnLength `salary` <= 649
type of cusip is float,ColumnDataType `cusip` = 649
length of ticker_symbol < 3032,ColumnLength `ticker_symbol` < 3032
salary > 545836,ColumnValue `salary` > 545836
type of holdings is boolean,ColumnDataType `holdings` = 545836
length of ticker_symbol >= 6383,ColumnLength `ticker_symbol` >= 6383
salary < 148439,ColumnValue `salary` < 148439
type of height is int,ColumnDataType `height` = 148439
type of cusip is float,ColumnDataType `cusip` = 148439
length of height < 5000,ColumnLength `height` < 5000
length of height >= 8214,ColumnLength `height` >= 8214
age <= 297083,ColumnValue `age` <= 297083
type of holdings is string,ColumnDataType `holdings` = 297083
salary <= 698885,ColumnValue `salary` <= 698885
height = 769130,ColumnValue `height` = 769130
height < 851375,ColumnValue `height` < 851375
weight >= 909865,ColumnValue `weight` >= 909865
salary > 556598,ColumnValue `salary` > 556598
age >= 16106,ColumnValue `age` >= 16106
length of age <= 7345,ColumnLength `age` <= 7345
length of weight > 5795,ColumnLength `weight` > 5795
length of height = 6171,ColumnLength `height` = 6171
length of age > 6238,ColumnLength `age` > 6238
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 6238
weight > 798505,ColumnValue `weight` > 798505
length of holdings >= 1399,ColumnLength `holdings` >= 1399
type of age is string,ColumnDataType `age` = 1399
type of cusip is int,ColumnDataType `cusip` = 1399
ticker_symbol >= 50362,ColumnValue `ticker_symbol` >= 50362
weight < 580997,ColumnValue `weight` < 580997
salary <= 794380,ColumnValue `salary` <= 794380
cusip = 701681,ColumnValue `cusip` = 701681
weight = 109261,ColumnValue `weight` = 109261
holdings <= 70335,ColumnValue `holdings` <= 70335
type of height is boolean,ColumnDataType `height` = 70335
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 70335
type of holdings is boolean,ColumnDataType `holdings` = 70335
type of weight is boolean,ColumnDataType `weight` = 70335
length of ticker_symbol < 7937,ColumnLength `ticker_symbol` < 7937
cusip = 492423,ColumnValue `cusip` = 492423
type of salary is float,ColumnDataType `salary` = 492423
type of holdings is int,ColumnDataType `holdings` = 492423
salary > 113084,ColumnValue `salary` > 113084
length of holdings <= 4134,ColumnLength `holdings` <= 4134
type of weight is string,ColumnDataType `weight` = 4134
length of weight < 4477,ColumnLength `weight` < 4477
holdings > 609457,ColumnValue `holdings` > 609457
height >= 456669,ColumnValue `height` >= 456669
type of height is string,ColumnDataType `height` = 456669
holdings >= 831424,ColumnValue `holdings` >= 831424
height > 903176,ColumnValue `height` > 903176
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 903176
length of height < 8292,ColumnLength `height` < 8292
length of cusip <= 1539,ColumnLength `cusip` <= 1539
type of salary is int,ColumnDataType `salary` = 1539
length of holdings > 6847,ColumnLength `holdings` > 6847
type of cusip is float,ColumnDataType `cusip` = 6847
age = 968678,ColumnValue `age` = 968678
type of salary is float,ColumnDataType `salary` = 968678
length of weight > 8336,ColumnLength `weight` > 8336
length of age <= 6671,ColumnLength `age` <= 6671
salary <= 782722,ColumnValue `salary` <= 782722
type of age is boolean,ColumnDataType `age` = 782722
salary < 525915,ColumnValue `salary` < 525915
holdings = 190596,ColumnValue `holdings` = 190596
type of age is float,ColumnDataType `age` = 190596
type of salary is float,ColumnDataType `salary` = 190596
length of cusip >= 3737,ColumnLength `cusip` >= 3737
type of salary is int,ColumnDataType `salary` = 3737
age <= 735921,ColumnValue `age` <= 735921
salary > 969554,ColumnValue `salary` > 969554
height = 477919,ColumnValue `height` = 477919
type of weight is float,ColumnDataType `weight` = 477919
type of height is boolean,ColumnDataType `height` = 477919
type of weight is float,ColumnDataType `weight` = 477919
length of age > 2524,ColumnLength `age` > 2524
length of salary = 1000,ColumnLength `salary` = 1000
type of height is int,ColumnDataType `height` = 1000
length of age = 1913,ColumnLength `age` = 1913
weight < 336324,ColumnValue `weight` < 336324
type of cusip is boolean,ColumnDataType `cusip` = 336324
type of holdings is float,ColumnDataType `holdings` = 336324
weight = 530391,ColumnValue `weight` = 530391
height < 263854,ColumnValue `height` < 263854
type of salary is boolean,ColumnDataType `salary` = 263854
length of height <= 8368,ColumnLength `height` <= 8368
type of holdings is float,ColumnDataType `holdings` = 8368
type of salary is string,ColumnDataType `salary` = 8368
height < 83086,ColumnValue `height` < 83086
length of weight <= 9823,ColumnLength `weight` <= 9823
type of age is int,ColumnDataType `age` = 9823
length of ticker_symbol < 6588,ColumnLength `ticker_symbol` < 6588
type of height is boolean,ColumnDataType `height` = 6588
length of salary < 159,ColumnLength `salary` < 159
length of salary < 5399,ColumnLength `salary` < 5399
holdings > 792573,ColumnValue `holdings` > 792573
height = 531796,ColumnValue `height` = 531796
length of holdings = 3442,ColumnLength `holdings` = 3442
length of height = 6866,ColumnLength `height` = 6866
weight < 546746,ColumnValue `weight` < 546746
length of salary = 9271,ColumnLength `salary` = 9271
type of salary is int,ColumnDataType `salary` = 9271
salary < 614933,ColumnValue `salary` < 614933
salary > 374070,ColumnValue `salary` > 374070
holdings < 124367,ColumnValue `holdings` < 124367
salary <= 502023,ColumnValue `salary` <= 502023
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 502023
height >= 252196,ColumnValue `height` >= 252196
length of cusip <= 7773,ColumnLength `cusip` <= 7773
height > 669443,ColumnValue `height` > 669443
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 669443
length of cusip >= 2848,ColumnLength `cusip` >= 2848
type of salary is string,ColumnDataType `salary` = 2848
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 2848
length of age >= 1361,ColumnLength `age` >= 1361
length of height >= 6893,ColumnLength `height` >= 6893
ticker_symbol < 14710,ColumnValue `ticker_symbol` < 14710
length of ticker_symbol = 6723,ColumnLength `ticker_symbol` = 6723
age >= 795750,ColumnValue `age` >= 795750
weight > 991961,ColumnValue `weight` > 991961
length of salary < 1597,ColumnLength `salary` < 1597
salary >= 57255,ColumnValue `salary` >= 57255
type of holdings is int,ColumnDataType `holdings` = 57255
length of holdings > 2906,ColumnLength `holdings` > 2906
type of holdings is boolean,ColumnDataType `holdings` = 2906
ticker_symbol = 9835,ColumnValue `ticker_symbol` = 9835
age < 337579,ColumnValue `age` < 337579
age < 890177,ColumnValue `age` < 890177
type of cusip is string,ColumnDataType `cusip` = 890177
type of height is boolean,ColumnDataType `height` = 890177
cusip = 299878,ColumnValue `cusip` = 299878
weight = 961607,ColumnValue `weight` = 961607
length of ticker_symbol > 129,ColumnLength `ticker_symbol` > 129
ticker_symbol >= 944451,ColumnValue `ticker_symbol` >= 944451
length of weight >= 9919,ColumnLength `weight` >= 9919
type of cusip is int,ColumnDataType `cusip` = 9919
weight = 405681,ColumnValue `weight` = 405681
salary > 754968,ColumnValue `salary` > 754968
length of cusip = 557,ColumnLength `cusip` = 557
age >= 934450,ColumnValue `age` >= 934450
length of ticker_symbol < 6001,ColumnLength `ticker_symbol` < 6001
holdings >= 942289,ColumnValue `holdings` >= 942289
cusip = 547157,ColumnValue `cusip` = 547157
weight <= 563475,ColumnValue `weight` <= 563475
type of age is string,ColumnDataType `age` = 563475
length of cusip > 1707,ColumnLength `cusip` > 1707
length of holdings <= 1384,ColumnLength `holdings` <= 1384
height > 284666,ColumnValue `height` > 284666
type of age is float,ColumnDataType `age` = 284666
age >= 4614,ColumnValue `age` >= 4614
length of height >= 194,ColumnLength `height` >= 194
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 194
ticker_symbol >= 156750,ColumnValue `ticker_symbol` >= 156750
weight < 943876,ColumnValue `weight` < 943876
length of salary < 800,ColumnLength `salary` < 800
type of age is float,ColumnDataType `age` = 800
length of salary < 9354,ColumnLength `salary` < 9354
length of cusip <= 3519,ColumnLength `cusip` <= 3519
type of age is int,ColumnDataType `age` = 3519
length of age = 5536,ColumnLength `age` = 5536
type of cusip is float,ColumnDataType `cusip` = 5536
length of holdings <= 4072,ColumnLength `holdings` <= 4072
weight >= 907886,ColumnValue `weight` >= 907886
holdings = 742280,ColumnValue `holdings` = 742280
type of cusip is int,ColumnDataType `cusip` = 742280
type of holdings is string,ColumnDataType `holdings` = 742280
type of holdings is string,ColumnDataType `holdings` = 742280
length of ticker_symbol > 5537,ColumnLength `ticker_symbol` > 5537
length of weight >= 299,ColumnLength `weight` >= 299
type of cusip is string,ColumnDataType `cusip` = 299
length of height < 7651,ColumnLength `height` < 7651
type of salary is boolean,ColumnDataType `salary` = 7651
length of ticker_symbol = 9784,ColumnLength `ticker_symbol` = 9784
type of salary is int,ColumnDataType `salary` = 9784
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 9784
length of weight > 6077,ColumnLength `weight` > 6077
type of weight is float,ColumnDataType `weight` = 6077
type of cusip is float,ColumnDataType `cusip` = 6077
length of holdings > 732,ColumnLength `holdings` > 732
length of weight < 1857,ColumnLength `weight` < 1857
age >= 910266,ColumnValue `age` >= 910266
weight > 964476,ColumnValue `weight` > 964476
